State,River,Length,Year,Class
Sarawak,Sungai Bintangor,0.63,2011,III
Perlis,Sungai Perlis,9.5,2012,III
Kedah,Sungai Petani,12,2012,III
Pulau Pinang,Sungai Pinang,3.1,2012,III
Perak,Sungai Kinta,20,2012,II
Selangor,Sungai Penchala,12,2012,III
Kuala Lumpur,Sungai Penchala,12,2012,IV
Negeri Sembilan,Sungai Temiang,9,2012,III
Melaka,Sungai Melaka,39,2012,II
Johor,Sungai Skudai,52.8,2012,III
Pahang,Sungai Galing,7,2012,III
Terengganu,Sungai Hiliran,5.5,2012,III
Kelantan,Sungai Pengkelan Chepa,10,2012,III
Sabah,Sungai Papar,45,2012,II
Sarawak,Sungai Miri,60,2012,III
Sarawak,Sungai Bintangor,0.63,2012,III
Perlis,Sungai Perlis,9.5,2013,III
Kedah,Sungai Petani,12,2013,III
Pulau Pinang,Sungai Pinang,3.1,2013,III
Perak,Sungai Kinta,20,2013,II
Selangor,Sungai Penchala,12,2013,III
Kuala Lumpur,Sungai Penchala,12,2013,III
Negeri Sembilan,Sungai Temiang,9,2013,III
Melaka,Sungai Melaka,39,2013,III
Johor,Sungai Skudai,52.8,2013,III
Pahang,Sungai Galing,7,2013,III
Terengganu,Sungai Hiliran,5.5,2013,III
Kelantan,Sungai Pengkelan Chepa,10,2013,III
Sabah,Sungai Papar,45,2013,II
Sarawak,Sungai Miri,60,2013,IV
Sarawak,Sungai Bintangor,0.63,2013,III
Perlis,Sungai Perlis,9.5,2014,III
Kedah,Sungai Petani,12,2014,III
Pulau Pinang,Sungai Pinang,3.1,2014,III
Perak,Sungai Kinta,20,2014,II
Selangor,Sungai Penchala,12,2014,IV
Kuala Lumpur,Sungai Penchala,12,2014,IV
Negeri Sembilan,Sungai Temiang,9,2014,III
Melaka,Sungai Melaka,39,2014,III
Johor,Sungai Skudai,52.8,2014,III
Pahang,Sungai Galing,7,2014,III
Terengganu,Sungai Hiliran,5.5,2014,III
Kelantan,Sungai Pengkelan Chepa,10,2014,III
Sabah,Sungai Papar,45,2014,II
Sarawak,Sungai Miri,60,2014,IV
Sarawak,Sungai Bintangor,0.63,2014,III
Perlis,Sungai Perlis,9.5,2015,III
Kedah,Sungai Petani,12,2015,III
Pulau Pinang,Sungai Pinang,3.1,2015,III
Perak,Sungai Kinta,20,2015,II
Selangor,Sungai Penchala,12,2015,III
Kuala Lumpur,Sungai Penchala,12,2015,III
Negeri Sembilan,Sungai Temiang,9,2015,III
Melaka,Sungai Melaka,39,2015,III
Johor,Sungai Skudai,52.8,2015,III
Pahang,Sungai Galing,7,2015,III
Terengganu,Sungai Hiliran,5.5,2015,III
Kelantan,Sungai Pengkelan Chepa,10,2015,III
Sabah,Sungai Papar,45,2015,II
Sarawak,Sungai Miri,60,2015,III
Sarawak,Sungai Bintangor,0.63,2015,III
